area,n_samples,people_rmse,people_mae,waiting_rmse,waiting_mae,congestion_rmse,congestion_mae
A,1431,0.3901769202871159,0.2735566204119663,0.0,0.0,0.0,0.0
GH,1431,3.2267973474949074,2.6592193271438553,0.0,0.0,0.0,0.0
Outside,1431,18.238157119796792,14.067520215633422,0.0,0.0,0.0,0.0
N,1431,2.1718740229868954,1.4931136512373409,0.3473062760286839,0.09613479307399644,0.00910190500509202,0.002531395035861854
M,1431,3.4371816566447904,2.3790467316672768,1.0898743671973397,0.5248703870087517,0.027225907733501007,0.01335524350687847
C,1431,9.610620923696395,6.991979190930973,3.813218984023973,2.632634077623595,0.0453618067279097,0.03232418653493187
K,1431,6.514324893598234,4.989643439486207,2.477198882386813,1.7179916364402736,0.05051740139354491,0.036042480987567314
H,1431,9.153082156948312,6.780661209277563,3.63880762204047,2.631835213470434,0.05068726931329958,0.03839116362643906
J,1431,7.080842821093715,5.28228899759298,2.7508603672634324,1.8556522800128668,0.0511555695792212,0.035468733431197344
D,1431,9.830298072458717,7.333793661885906,3.909363398527221,2.848955664259648,0.05579520174400881,0.043098755921920355
E,1431,7.662180980340266,6.070184575111199,3.0497808023583417,2.394568566769824,0.05919417212984137,0.04754513382895173
L,1431,5.938738781501846,4.333397113795437,2.880900573681335,1.8827274189433518,0.06018816060845987,0.040146067352967316
IM2,1431,8.434704431532294,5.81732998347254,3.314810659301425,2.0356312047297367,0.06050740696371844,0.03853992988408836
G,1431,6.749381334227513,5.314951249542445,3.3326394830517363,2.5518743136667665,0.06355330340341613,0.05004215243142365
B,1431,11.9205469893265,7.970603862322941,5.93452125649686,3.7932775392943117,0.06480312877561355,0.04361089564352452
F,1431,6.811708169958484,5.373135114749371,3.347518822880931,2.5336744201524075,0.06718954782750093,0.05240236136650938
IM1,1431,12.39179640070338,8.998803977682384,4.9158786500759435,3.4224753474648644,0.06824052049538158,0.04979559668126164
